AIR_FUEL_RATIO,AIR_INTAKE_TEMP,AMBIENT_AIR_TEMP,BAROMETRIC_PRESSURE,CONTROL_MODULE_VOLTAGE,DISTANCE_TRAVELED_MIL_ON,DTC_NUMBER,ENGINE_COOLANT_TEMP,ENGINE_LOAD,ENGINE_OIL_TEMP,ENGINE_RPM,ENGINE_RUNTIME,EQUIV_RATIO,FUEL_CONSUMPTION_RATE,FUEL_LEVEL,FUEL_PRESSURE,FUEL_RAIL_PRESSURE,FUEL_TYPE,INTAKE_MANIFOLD_PRESSURE,Long Term Fuel Trim Bank 1,Long Term Fuel Trim Bank 2,MAF,SPEED,Short Term Fuel Trim Bank 1,Short Term Fuel Trim Bank 2,THROTTLE_POS,TIMING_ADVANCE,VIN,WIDEBAND_AIR_FUEL_RATIO
14.70:1 AFR,34C,30C,94kPa,12.0V,0km,MIL is OFF0 codes,76C,49.8%,NODATA,864RPM,00:03:11,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,79kPa,-3.1%,NODATA,NODATA,17km/h,-1.6%,NODATA,22.7%,56.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.12:1 AFR
14.70:1 AFR,35C,30C,94kPa,13.0V,0km,MIL is OFF0 codes,78C,43.1%,NODATA,1165RPM,00:03:41,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,38kPa,-5.5%,NODATA,NODATA,21km/h,-4.7%,NODATA,19.6%,62.7%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.67:1 AFR
14.70:1 AFR,35C,30C,94kPa,12.0V,0km,MIL is OFF0 codes,78C,51.8%,NODATA,767RPM,00:03:50,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,85kPa,-5.5%,NODATA,NODATA,10km/h,-3.1%,NODATA,19.2%,54.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,15.61:1 AFR
14.70:1 AFR,35C,30C,94kPa,14.0V,0km,MIL is OFF0 codes,80C,78.0%,NODATA,1290RPM,00:04:20,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,70kPa,-3.9%,NODATA,NODATA,53km/h,0.0%,NODATA,23.5%,63.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.79:1 AFR
14.70:1 AFR,35C,30C,94kPa,14.0V,0km,MIL is OFF0 codes,80C,67.5%,NODATA,1397RPM,00:04:30,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,45kPa,-5.5%,NODATA,NODATA,54km/h,-5.5%,NODATA,19.6%,63.9%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.95:1 AFR
13.59:1 AFR,35C,30C,94kPa,14.0V,0km,MIL is OFF0 codes,80C,39.2%,NODATA,1405RPM,00:04:39,0.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,75kPa,-6.3%,NODATA,NODATA,50km/h,0.0%,NODATA,18.4%,64.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,13.78:1 AFR
14.70:1 AFR,35C,30C,94kPa,14.0V,0km,MIL is OFF0 codes,81C,62.0%,NODATA,1443RPM,00:04:59,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,71kPa,-3.9%,NODATA,NODATA,59km/h,1.6%,NODATA,23.5%,59.2%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.56:1 AFR
14.70:1 AFR,35C,30C,94kPa,14.0V,0km,MIL is OFF0 codes,81C,80.0%,NODATA,1520RPM,00:05:09,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,70kPa,-2.3%,NODATA,NODATA,60km/h,0.0%,NODATA,24.7%,67.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.73:1 AFR
14.70:1 AFR,35C,29C,94kPa,14.0V,0km,MIL is OFF0 codes,82C,36.5%,NODATA,1170RPM,00:05:49,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,33kPa,-5.5%,NODATA,NODATA,45km/h,-5.5%,NODATA,19.2%,66.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.75:1 AFR
14.70:1 AFR,36C,29C,94kPa,14.0V,0km,MIL is OFF0 codes,81C,80.4%,NODATA,1283RPM,00:06:08,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,85kPa,0.0%,NODATA,NODATA,36km/h,-3.1%,NODATA,25.9%,64.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.90:1 AFR
14.70:1 AFR,35C,29C,95kPa,14.0V,0km,MIL is OFF0 codes,83C,92.9%,NODATA,2023RPM,00:06:28,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,85kPa,0.0%,NODATA,NODATA,43km/h,-0.8%,NODATA,32.5%,57.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.87:1 AFR
14.70:1 AFR,35C,29C,94kPa,14.0V,0km,MIL is OFF0 codes,83C,43.9%,NODATA,1246RPM,00:06:48,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,51kPa,-5.5%,NODATA,NODATA,45km/h,-6.3%,NODATA,19.6%,61.2%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,15.04:1 AFR
14.70:1 AFR,36C,29C,94kPa,14.0V,0km,MIL is OFF0 codes,82C,39.2%,NODATA,1254RPM,00:07:07,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,33kPa,-5.5%,NODATA,NODATA,50km/h,-4.7%,NODATA,19.2%,65.1%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.71:1 AFR
15.14:1 AFR,36C,29C,94kPa,13.0V,0km,MIL is OFF0 codes,81C,52.9%,NODATA,1466RPM,00:07:27,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,56kPa,-3.9%,NODATA,NODATA,25km/h,0.8%,NODATA,23.5%,66.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,15.34:1 AFR
14.70:1 AFR,36C,29C,94kPa,14.0V,0km,MIL is OFF0 codes,83C,54.1%,NODATA,1263RPM,00:07:57,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,44kPa,-3.1%,NODATA,NODATA,42km/h,-3.1%,NODATA,21.2%,59.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.72:1 AFR
14.70:1 AFR,36C,29C,94kPa,13.0V,0km,MIL is OFF0 codes,82C,34.1%,NODATA,1292RPM,00:08:16,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,25kPa,-5.5%,NODATA,NODATA,12km/h,-7.8%,NODATA,18.0%,65.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.84:1 AFR
14.70:1 AFR,37C,30C,94kPa,14.0V,0km,MIL is OFF0 codes,83C,77.3%,NODATA,1487RPM,00:09:05,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,42kPa,-5.5%,NODATA,NODATA,39km/h,-2.3%,NODATA,24.3%,69.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.03:1 AFR
14.70:1 AFR,37C,30C,94kPa,13.0V,0km,MIL is OFF0 codes,83C,51.4%,NODATA,1531RPM,00:09:35,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,36kPa,-5.5%,NODATA,NODATA,26km/h,-3.1%,NODATA,19.6%,61.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.58:1 AFR
14.70:1 AFR,38C,30C,95kPa,14.0V,0km,MIL is OFF0 codes,83C,51.8%,NODATA,1267RPM,00:10:04,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,33kPa,-4.7%,NODATA,NODATA,43km/h,-2.3%,NODATA,20.4%,60.4%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.73:1 AFR
14.70:1 AFR,38C,30C,95kPa,14.0V,0km,MIL is OFF0 codes,82C,58.8%,NODATA,1367RPM,00:10:44,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,29kPa,-5.5%,NODATA,NODATA,16km/h,-3.9%,NODATA,18.0%,67.5%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.58:1 AFR
14.70:1 AFR,39C,31C,95kPa,14.0V,0km,MIL is OFF0 codes,84C,53.7%,NODATA,1250RPM,00:11:33,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,59kPa,-3.1%,NODATA,NODATA,37km/h,-1.6%,NODATA,19.6%,59.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.74:1 AFR
14.70:1 AFR,39C,31C,95kPa,14.0V,0km,MIL is OFF0 codes,84C,32.9%,NODATA,1253RPM,00:11:53,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,41kPa,-5.5%,NODATA,NODATA,20km/h,-7.0%,NODATA,18.4%,65.9%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.75:1 AFR
14.70:1 AFR,40C,31C,95kPa,12.0V,0km,MIL is OFF0 codes,83C,43.1%,NODATA,1048RPM,00:12:12,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,42kPa,-5.5%,NODATA,NODATA,0km/h,-3.9%,NODATA,19.2%,57.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.45:1 AFR
14.70:1 AFR,40C,31C,95kPa,14.0V,0km,MIL is OFF0 codes,83C,64.3%,NODATA,1660RPM,00:12:22,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,64kPa,-3.1%,NODATA,NODATA,10km/h,0.0%,NODATA,22.0%,59.6%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.84:1 AFR
14.70:1 AFR,40C,31C,95kPa,12.0V,0km,MIL is OFF0 codes,83C,56.5%,NODATA,922RPM,00:13:02,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,52kPa,-3.1%,NODATA,NODATA,1km/h,-2.3%,NODATA,21.6%,43.9%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.08:1 AFR
14.70:1 AFR,41C,31C,95kPa,13.0V,0km,MIL is OFF0 codes,84C,60.0%,NODATA,870RPM,00:13:11,1.0%,NODATA,NODATA,NODATA,NODATA,Gasoline,50kPa,-5.5%,NODATA,NODATA,0km/h,-2.3%,NODATA,19.6%,46.3%,@ ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,14.71:1 AFR
